"2599";"Estudiante 02599";"7.000000"
"4403";"Estudiante 04403";"7.000000"
"3749";"Estudiante 03749";"7.000000"
"1628";"Estudiante 01628";"7.000000"
"13073";"Estudiante 13073";"7.000000"
"11406";"Estudiante 11406";"7.000000"
"5785";"Estudiante 05785";"7.000000"
"2871";"Estudiante 02871";"6.950000"
"9110";"Estudiante 09110";"6.950000"
"2051";"Estudiante 02051";"6.950000"
"7214";"Estudiante 07214";"6.950000"
"2567";"Estudiante 02567";"6.950000"
"4320";"Estudiante 04320";"6.950000"
"9339";"Estudiante 09339";"6.950000"
"12091";"Estudiante 12091";"6.950000"
"4202";"Estudiante 04202";"6.950000"
"6899";"Estudiante 06899";"6.950000"
"13804";"Estudiante 13804";"6.950000"
"10406";"Estudiante 10406";"6.950000"
"107";"Estudiante 00107";"6.950000"
"8934";"Estudiante 08934";"6.950000"
"11840";"Estudiante 11840";"6.950000"
"2594";"Estudiante 02594";"6.950000"
"12718";"Estudiante 12718";"6.950000"
"7459";"Estudiante 07459";"6.950000"
"1232";"Estudiante 01232";"6.950000"
"12327";"Estudiante 12327";"6.950000"
"4468";"Estudiante 04468";"6.950000"
"5818";"Estudiante 05818";"6.950000"
"4185";"Estudiante 04185";"6.950000"
"7522";"Estudiante 07522";"6.950000"
"12292";"Estudiante 12292";"6.950000"
"10205";"Estudiante 10205";"6.950000"
"11339";"Estudiante 11339";"6.950000"
"5778";"Estudiante 05778";"6.900000"
"11066";"Estudiante 11066";"6.900000"
"10973";"Estudiante 10973";"6.900000"
"2778";"Estudiante 02778";"6.900000"
"12699";"Estudiante 12699";"6.900000"
"6953";"Estudiante 06953";"6.900000"
"13242";"Estudiante 13242";"6.900000"
"5395";"Estudiante 05395";"6.900000"
"13613";"Estudiante 13613";"6.900000"
"8065";"Estudiante 08065";"6.900000"
"11156";"Estudiante 11156";"6.900000"
"8787";"Estudiante 08787";"6.900000"
"6075";"Estudiante 06075";"6.900000"
"4342";"Estudiante 04342";"6.900000"
"238";"Estudiante 00238";"6.900000"
"10566";"Estudiante 10566";"6.900000"
"7840";"Estudiante 07840";"6.900000"
"6916";"Estudiante 06916";"6.900000"
"7408";"Estudiante 07408";"6.900000"
"1137";"Estudiante 01137";"6.900000"
"11445";"Estudiante 11445";"6.900000"
"4352";"Estudiante 04352";"6.900000"
"11176";"Estudiante 11176";"6.900000"
"3162";"Estudiante 03162";"6.900000"
"14771";"Estudiante 14771";"6.900000"
"3891";"Estudiante 03891";"6.900000"
"6013";"Estudiante 06013";"6.900000"
"9458";"Estudiante 09458";"6.900000"
"13564";"Estudiante 13564";"6.900000"
"2867";"Estudiante 02867";"6.900000"
"3943";"Estudiante 03943";"6.900000"
"1774";"Estudiante 01774";"6.900000"
"4934";"Estudiante 04934";"6.900000"
"4128";"Estudiante 04128";"6.900000"
"9773";"Estudiante 09773";"6.900000"
"1776";"Estudiante 01776";"6.900000"
"5099";"Estudiante 05099";"6.900000"
"14022";"Estudiante 14022";"6.900000"
"1398";"Estudiante 01398";"6.900000"
"8732";"Estudiante 08732";"6.900000"
"11292";"Estudiante 11292";"6.900000"
"3325";"Estudiante 03325";"6.900000"
"10081";"Estudiante 10081";"6.900000"
"14410";"Estudiante 14410";"6.900000"
"1718";"Estudiante 01718";"6.900000"
"2644";"Estudiante 02644";"6.900000"
"10555";"Estudiante 10555";"6.900000"
"425";"Estudiante 00425";"6.900000"
"3662";"Estudiante 03662";"6.900000"
"6170";"Estudiante 06170";"6.900000"
"14935";"Estudiante 14935";"6.900000"
"398";"Estudiante 00398";"6.900000"
"12518";"Estudiante 12518";"6.900000"
"7743";"Estudiante 07743";"6.900000"
"4414";"Estudiante 04414";"6.900000"
"12171";"Estudiante 12171";"6.900000"
"11407";"Estudiante 11407";"6.900000"
"510";"Estudiante 00510";"6.900000"
"3396";"Estudiante 03396";"6.900000"
"6588";"Estudiante 06588";"6.900000"
"14745";"Estudiante 14745";"6.850000"
"4181";"Estudiante 04181";"6.850000"
"2880";"Estudiante 02880";"6.850000"
"8519";"Estudiante 08519";"6.850000"
"12383";"Estudiante 12383";"6.850000"
"10765";"Estudiante 10765";"6.850000"
